experiment_id,job_id,results_file,package_id,package_name,worker_id,config_id,replicate_no,setup_time,run_time,collect_time,hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,config,NO_ASM,NO_8X8DCT,NO_CABAC,NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,RC_LOOKAHEAD,REF,size,time
326,48403,48403.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,1399,215.741117954254,32.1407928466797,0.124936103820801,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,279,--no-asm,,,,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-20,--ref-1,576,32.03
326,39946,39946.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,137,204.919630050659,26.4725208282471,0.133462190628052,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,27,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-20,--ref-1,300,26.35
326,31907,31907.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,732,204.690549850464,29.3830840587616,0.152004957199097,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,146,--no-asm,,,,--no-fast-pskip,,,,--rc-lookahead-40,--ref-5,304,29.24
326,49863,49863.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,1420,73.3683211803436,7.57434892654419,0.1407790184021,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,284,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-60,--ref-5,304,7.43
326,35457,35457.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,103,0,1404,221.112101078033,30.05721783638,0.124788045883179,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,280,--no-asm,,,,--no-fast-pskip,--no-mbtree,,,--rc-lookahead-20,--ref-1,576,29.93
326,43279,43279.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,106,0,592,210.279580116272,41.9520192146301,0.133335113525391,i686,3192,2,4096,505664,on,off,gcc,off,0,ext4,off,default,-O2,on,118,--no-asm,,,--no-deblock,,--no-mbtree,--no-mixed-refs,--no-weightb,--rc-lookahead-20,--ref-5,572,41.83
326,46881,46881.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,75,0,1316,204.774046897888,77.0304839611053,0.141691923141479,i686,3200,2,4096,1000436,on,off,gcc,off,0,ext4,off,default,-O2,on,263,--no-asm,,,--no-deblock,,--no-mbtree,,,--rc-lookahead-60,--ref-9,580,76.9
326,41353,41353.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,88,0,105,183.391345024109,116.222371101379,0.116461038589478,i686,1700,1,4096,1001368,on,off,gcc,off,0,ext4,off,default,-O2,on,21,--no-asm,,,,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-20,--ref-9,572,116.12
326,49752,49752.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,81,0,1309,72.0352339744568,4.47171187400818,0.126482009887695,x86_64,2411,16,4096,32965280,on,off,gcc,off,0,ext4,off,default,-O2,on,261,--no-asm,,,--no-deblock,--no-fast-pskip,,--no-mixed-refs,,--rc-lookahead-60,--ref-1,308,4.35
326,29623,29623.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,105,0,1326,206.988096952438,62.4951810836792,0.150192975997925,i686,3200,2,4096,902464,on,off,gcc,off,0,ext4,off,default,-O2,on,265,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,,--no-weightb,--rc-lookahead-40,--ref-5,580,62.36
326,47609,47609.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,98,0,605,217.416992902756,41.3726630210876,0.124891042709351,i686,2992,2,4096,894272,on,off,gcc,off,0,ext4,off,default,-O2,on,121,--no-asm,,,,--no-fast-pskip,,--no-mixed-refs,--no-weightb,--rc-lookahead-40,--ref-5,300,41.24
326,39996,39996.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,97,0,187,207.011219024658,47.6057949066162,0.125144958496094,i686,2992,2,4096,894176,on,off,gcc,off,0,ext4,off,default,-O2,on,37,--no-asm,,,--no-deblock,--no-fast-pskip,--no-mbtree,--no-mixed-refs,,--rc-lookahead-60,--ref-5,576,47.5
326,31798,31798.user_results.tar.gz,323,x264-options-pkg.tar_5.gz,128,0,623,203.602847099304,40.2728440761566,0.160356044769287,i686,2993,2,4096,2072552,on,off,gcc,off,0,ext4,off,default,-O2,on,124,--no-asm,,,,--no-fast-pskip,,,--no-weightb,--rc-lookahead-20,--ref-9,304,40.14
