collect_time,config_id,experiment_id,hw_cpu_arch,hw_cpu_mhz,hw_gpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_mhz,hw_ram_sz,job_id,package_id,package_name,replicate_no,results_file,run_time,setup_time,sw_address_randomization,sw_autogroup,sw_compiler,sw_drop_caches,sw_env_padding,sw_filesystem,sw_freq_scaling,sw_link_order,sw_opt_flag,sw_swap,sw_sys_time,worker_id,job_id,-bail,-stats,config,journal_mode,mmap_size,page_size,time,synchronous
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_19,DELETE,0,65536,336.625988007,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_20,DELETE,268435456,512,341.687544107,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_21,DELETE,268435456,512,342.669057131,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_22,DELETE,268435456,65536,333.816338062,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_23,DELETE,268435456,65536,334.405721903,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_24,MEMORY,0,512,349.079205036,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_25,MEMORY,0,512,349.842724085,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_26,MEMORY,0,65536,332.148746014,OFF
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_27,MEMORY,0,65536,335.22705698,ON
0.3512079716,0,1114,i686,3200,33,2,4096,400,1000544,132095,2328,sqlite3-options-pkg.tar_2.gz,0,132095.user_results.tar.gz,17775.0183959007,2082.2652990818,on,off,gcc,off,0,ext4,off,default,-O2,on,off,90,132095,False,True,config_28,MEMORY,268435456,512,350.742160797,OFF
