"train","var","n"
75,"mmap_size",168
75,"page_size",89
75,"synchronous",149
75,"X.bail",245
75,"X.stats",49
90,"mmap_size",150
90,"page_size",82
90,"synchronous",159
90,"X.bail",260
90,"X.stats",49
97,"mmap_size",172
97,"page_size",78
97,"synchronous",167
97,"X.bail",235
97,"X.stats",48
98,"mmap_size",169
98,"page_size",84
98,"synchronous",162
98,"X.bail",237
98,"X.stats",48
99,"mmap_size",158
99,"page_size",83
99,"synchronous",185
99,"X.bail",225
99,"X.stats",49
105,"mmap_size",158
105,"page_size",79
105,"synchronous",156
105,"X.bail",257
105,"X.stats",50
125,"mmap_size",165
125,"page_size",84
125,"synchronous",163
125,"X.bail",241
125,"X.stats",47
130,"mmap_size",164
130,"page_size",82
130,"synchronous",147
130,"X.bail",258
130,"X.stats",49
146,"mmap_size",167
146,"page_size",85
146,"synchronous",173
146,"X.bail",228
146,"X.stats",47
157,"mmap_size",188
157,"page_size",87
157,"synchronous",170
157,"X.bail",205
157,"X.stats",50
