"train","var","n"
73,"crc32",187
73,"crc64",168
73,"extreme",50
73,"none",143
73,"sha256",277
73,"sparse",428
73,"X0",82
73,"X.1",72
73,"X.2",71
73,"X.3",78
73,"X.4",84
73,"X.5",71
73,"X.6",77
73,"X.7",34
73,"X.8",47
73,"X.9",79
75,"crc32",181
75,"crc64",189
75,"extreme",50
75,"none",149
75,"sha256",256
75,"sparse",445
75,"X0",85
75,"X.1",76
75,"X.2",66
75,"X.3",75
75,"X.4",72
75,"X.5",82
75,"X.6",73
75,"X.7",44
75,"X.8",47
75,"X.9",75
77,"crc32",206
77,"crc64",163
77,"extreme",50
77,"none",135
77,"sha256",271
77,"sparse",438
77,"X0",82
77,"X.1",79
77,"X.2",59
77,"X.3",78
77,"X.4",77
77,"X.5",79
77,"X.6",60
77,"X.7",48
77,"X.8",55
77,"X.9",75
78,"crc32",213
78,"crc64",196
78,"extreme",50
78,"none",133
78,"sha256",220
78,"sparse",485
78,"X0",83
78,"X.1",80
78,"X.2",63
78,"X.3",72
78,"X.4",73
78,"X.5",81
78,"X.6",77
78,"X.7",54
78,"X.8",48
78,"X.9",61
79,"crc32",192
79,"crc64",143
79,"extreme",50
79,"none",174
79,"sha256",256
79,"sparse",436
79,"X0",76
79,"X.1",74
79,"X.2",72
79,"X.3",84
79,"X.4",84
79,"X.5",79
79,"X.6",88
79,"X.7",25
79,"X.8",34
79,"X.9",81
80,"crc32",217
80,"crc64",178
80,"extreme",50
80,"none",157
80,"sha256",220
80,"sparse",455
80,"X0",79
80,"X.1",78
80,"X.2",69
80,"X.3",80
80,"X.4",81
80,"X.5",77
80,"X.6",87
80,"X.7",59
80,"X.8",40
80,"X.9",53
81,"crc32",210
81,"crc64",229
81,"extreme",50
81,"none",181
81,"sha256",201
81,"sparse",444
81,"X0",78
81,"X.1",71
81,"X.2",70
81,"X.3",73
81,"X.4",73
81,"X.5",86
81,"X.6",73
81,"X.7",44
81,"X.8",39
81,"X.9",66
