"worker_id","X.bail","X.stats","mmap_size","page_size","synchronous","PERF"
75,"False","False",0,512,"OFF",216.146074494
75,"False","False",0,512,"ON",217.119440118667
75,"False","False",0,65536,"OFF",200.243946313833
75,"False","False",0,65536,"ON",202.1491099995
75,"False","False",268435456,512,"OFF",212.288080136
75,"False","False",268435456,512,"ON",212.474527359
75,"False","False",268435456,65536,"OFF",200.713847398833
75,"False","False",268435456,65536,"ON",202.7028342885
75,"False","True",0,512,"OFF",343.183652718833
75,"False","True",0,512,"ON",345.669851978667
75,"False","True",0,65536,"OFF",328.4223212005
75,"False","True",0,65536,"ON",331.6572138465
75,"False","True",268435456,512,"OFF",339.334839979833
75,"False","True",268435456,512,"ON",342.071094950167
75,"False","True",268435456,65536,"OFF",329.192594806333
75,"False","True",268435456,65536,"ON",333.7698403995
75,"True","False",0,512,"OFF",216.677269736833
75,"True","False",0,512,"ON",218.582534750333
75,"True","False",0,65536,"OFF",201.316245516167
75,"True","False",0,65536,"ON",203.186297535833
75,"True","False",268435456,512,"OFF",212.268884499833
75,"True","False",268435456,512,"ON",212.596550067333
75,"True","False",268435456,65536,"OFF",200.2756269375
75,"True","False",268435456,65536,"ON",204.256685813167
75,"True","True",0,512,"OFF",347.6046071845
75,"True","True",0,512,"ON",346.131150841667
75,"True","True",0,65536,"OFF",329.5221079985
75,"True","True",0,65536,"ON",331.806097944667
75,"True","True",268435456,512,"OFF",340.651529192667
75,"True","True",268435456,512,"ON",339.584298054333
75,"True","True",268435456,65536,"OFF",329.505400935833
75,"True","True",268435456,65536,"ON",333.364683310167
90,"False","False",0,512,"OFF",221.646986127
90,"False","False",0,512,"ON",222.407882412167
90,"False","False",0,65536,"OFF",206.325951337833
90,"False","False",0,65536,"ON",208.8501912355
90,"False","False",268435456,512,"OFF",216.088406483333
90,"False","False",268435456,512,"ON",217.141396880167
90,"False","False",268435456,65536,"OFF",207.19192334
90,"False","False",268435456,65536,"ON",210.312155167167
90,"False","True",0,512,"OFF",351.405903816
90,"False","True",0,512,"ON",349.905221502
90,"False","True",0,65536,"OFF",333.240554015
90,"False","True",0,65536,"ON",336.373844544333
90,"False","True",268435456,512,"OFF",344.737109660833
90,"False","True",268435456,512,"ON",344.962613821167
90,"False","True",268435456,65536,"OFF",334.6633989015
90,"False","True",268435456,65536,"ON",337.269416451333
90,"True","False",0,512,"OFF",222.468143820667
90,"True","False",0,512,"ON",222.454255739667
90,"True","False",0,65536,"OFF",206.112188816
90,"True","False",0,65536,"ON",208.973961432667
90,"True","False",268435456,512,"OFF",216.137470324833
90,"True","False",268435456,512,"ON",216.528442501833
90,"True","False",268435456,65536,"OFF",206.6573301555
90,"True","False",268435456,65536,"ON",209.6964262725
90,"True","True",0,512,"OFF",350.330010692167
90,"True","True",0,512,"ON",351.386638681
90,"True","True",0,65536,"OFF",333.600334008667
90,"True","True",0,65536,"ON",335.131248831833
90,"True","True",268435456,512,"OFF",343.6587576865
90,"True","True",268435456,512,"ON",346.1266724665
90,"True","True",268435456,65536,"OFF",334.574688990833
90,"True","True",268435456,65536,"ON",338.324600815667
97,"False","False",0,512,"OFF",244.898132483167
97,"False","False",0,512,"ON",245.5323156515
97,"False","False",0,65536,"OFF",227.656649390833
97,"False","False",0,65536,"ON",231.289845864
97,"False","False",268435456,512,"OFF",237.954208334333
97,"False","False",268435456,512,"ON",239.203958948333
97,"False","False",268435456,65536,"OFF",228.815532326667
97,"False","False",268435456,65536,"ON",231.9754931925
97,"False","True",0,512,"OFF",383.456723690167
97,"False","True",0,512,"ON",385.622139175667
97,"False","True",0,65536,"OFF",366.654188791833
97,"False","True",0,65536,"ON",370.017615675833
97,"False","True",268435456,512,"OFF",376.062828818833
97,"False","True",268435456,512,"ON",375.5261758565
97,"False","True",268435456,65536,"OFF",364.5721114475
97,"False","True",268435456,65536,"ON",371.457916299667
97,"True","False",0,512,"OFF",244.9987810055
97,"True","False",0,512,"ON",245.784736832
97,"True","False",0,65536,"OFF",227.134886821
97,"True","False",0,65536,"ON",229.5654301245
97,"True","False",268435456,512,"OFF",238.2670651675
97,"True","False",268435456,512,"ON",239.508490165167
97,"True","False",268435456,65536,"OFF",230.486373345167
97,"True","False",268435456,65536,"ON",233.0813966595
97,"True","True",0,512,"OFF",383.056411822667
97,"True","True",0,512,"ON",382.2261731225
97,"True","True",0,65536,"OFF",366.105560302667
97,"True","True",0,65536,"ON",369.264651815167
97,"True","True",268435456,512,"OFF",377.787820657167
97,"True","True",268435456,512,"ON",377.568417191667
97,"True","True",268435456,65536,"OFF",366.041205128
97,"True","True",268435456,65536,"ON",369.532785336167
98,"False","False",0,512,"OFF",204.5345683495
98,"False","False",0,512,"ON",205.807937502833
98,"False","False",0,65536,"OFF",188.528177340833
98,"False","False",0,65536,"ON",191.849758307
98,"False","False",268435456,512,"OFF",199.670439481667
98,"False","False",268435456,512,"ON",199.368568023167
98,"False","False",268435456,65536,"OFF",189.347699125667
98,"False","False",268435456,65536,"ON",191.571941534833
98,"False","True",0,512,"OFF",332.2106696765
98,"False","True",0,512,"ON",334.467818697167
98,"False","True",0,65536,"OFF",318.814792951
98,"False","True",0,65536,"ON",319.240484595167
98,"False","True",268435456,512,"OFF",328.445006291167
98,"False","True",268435456,512,"ON",329.3070590495
98,"False","True",268435456,65536,"OFF",316.774482568167
98,"False","True",268435456,65536,"ON",318.3249052365
98,"True","False",0,512,"OFF",204.971042673
98,"True","False",0,512,"ON",206.589810768833
98,"True","False",0,65536,"OFF",189.246661186333
98,"True","False",0,65536,"ON",192.057523687833
98,"True","False",268435456,512,"OFF",199.178267796667
98,"True","False",268435456,512,"ON",200.0504506825
98,"True","False",268435456,65536,"OFF",189.050585627667
98,"True","False",268435456,65536,"ON",191.976309855833
98,"True","True",0,512,"OFF",335.125748356333
98,"True","True",0,512,"ON",335.912468155333
98,"True","True",0,65536,"OFF",317.976821979
98,"True","True",0,65536,"ON",323.7050104935
98,"True","True",268435456,512,"OFF",327.347612659167
98,"True","True",268435456,512,"ON",329.898622036
98,"True","True",268435456,65536,"OFF",316.745697498167
98,"True","True",268435456,65536,"ON",318.5132110915
99,"False","False",0,512,"OFF",219.9749320745
99,"False","False",0,512,"ON",220.83727932
99,"False","False",0,65536,"OFF",200.90474694975
99,"False","False",0,65536,"ON",204.201007247
99,"False","False",268435456,512,"OFF",214.7735357285
99,"False","False",268435456,512,"ON",216.317120254
99,"False","False",268435456,65536,"OFF",203.748759687
99,"False","False",268435456,65536,"ON",206.45445477975
99,"False","True",0,512,"OFF",361.28965127475
99,"False","True",0,512,"ON",359.88490074875
99,"False","True",0,65536,"OFF",338.3948377965
99,"False","True",0,65536,"ON",338.19096273175
99,"False","True",268435456,512,"OFF",350.9090799095
99,"False","True",268435456,512,"ON",352.76781076175
99,"False","True",268435456,65536,"OFF",337.97666275475
99,"False","True",268435456,65536,"ON",338.2686561945
99,"True","False",0,512,"OFF",219.7355241775
99,"True","False",0,512,"ON",220.3422529695
99,"True","False",0,65536,"OFF",202.3876517415
99,"True","False",0,65536,"ON",206.198999703
99,"True","False",268435456,512,"OFF",214.0087524655
99,"True","False",268435456,512,"ON",213.82148998975
99,"True","False",268435456,65536,"OFF",204.73052972575
99,"True","False",268435456,65536,"ON",206.56389355675
99,"True","True",0,512,"OFF",356.9905174375
99,"True","True",0,512,"ON",359.12110596875
99,"True","True",0,65536,"OFF",337.5145407915
99,"True","True",0,65536,"ON",340.15021991725
99,"True","True",268435456,512,"OFF",349.93743854775
99,"True","True",268435456,512,"ON",351.88008278625
99,"True","True",268435456,65536,"OFF",340.711599946
99,"True","True",268435456,65536,"ON",339.837824464
105,"False","False",0,512,"OFF",222.023087442
105,"False","False",0,512,"ON",222.272470653
105,"False","False",0,65536,"OFF",206.84491527075
105,"False","False",0,65536,"ON",210.03923052575
105,"False","False",268435456,512,"OFF",215.96394330275
105,"False","False",268435456,512,"ON",218.17676574
105,"False","False",268435456,65536,"OFF",207.988530457
105,"False","False",268435456,65536,"ON",211.1496117115
105,"False","True",0,512,"OFF",354.847938478
105,"False","True",0,512,"ON",352.62924528125
105,"False","True",0,65536,"OFF",336.57287800325
105,"False","True",0,65536,"ON",339.68507695175
105,"False","True",268435456,512,"OFF",345.69866997
105,"False","True",268435456,512,"ON",345.9097815155
105,"False","True",268435456,65536,"OFF",335.594361007
105,"False","True",268435456,65536,"ON",340.5138204695
105,"True","False",0,512,"OFF",221.8994300365
105,"True","False",0,512,"ON",223.335846543
105,"True","False",0,65536,"OFF",207.5650997755
105,"True","False",0,65536,"ON",210.10568189625
105,"True","False",268435456,512,"OFF",216.87247848525
105,"True","False",268435456,512,"ON",216.24388581525
105,"True","False",268435456,65536,"OFF",207.6224217415
105,"True","False",268435456,65536,"ON",211.18767154225
105,"True","True",0,512,"OFF",353.384264171
105,"True","True",0,512,"ON",357.61415368325
105,"True","True",0,65536,"OFF",337.184477508
105,"True","True",0,65536,"ON",338.68191301825
105,"True","True",268435456,512,"OFF",344.063010156
105,"True","True",268435456,512,"ON",346.474668026
105,"True","True",268435456,65536,"OFF",336.31266820425
105,"True","True",268435456,65536,"ON",340.3670812845
125,"False","False",0,512,"OFF",52.237695693975
125,"False","False",0,512,"ON",54.321588218225
125,"False","False",0,65536,"OFF",47.71598142385
125,"False","False",0,65536,"ON",50.2544127703
125,"False","False",268435456,512,"OFF",50.88863670825
125,"False","False",268435456,512,"ON",52.1406877637
125,"False","False",268435456,65536,"OFF",47.690404474725
125,"False","False",268435456,65536,"ON",50.463911175725
125,"False","True",0,512,"OFF",87.47825318575
125,"False","True",0,512,"ON",89.12999743225
125,"False","True",0,65536,"OFF",82.47321856025
125,"False","True",0,65536,"ON",84.49265557525
125,"False","True",268435456,512,"OFF",85.38360768555
125,"False","True",268435456,512,"ON",86.85921376945
125,"False","True",268435456,65536,"OFF",83.28975480795
125,"False","True",268435456,65536,"ON",84.499339520925
125,"True","False",0,512,"OFF",52.4486489892
125,"True","False",0,512,"ON",54.401971459375
125,"True","False",0,65536,"OFF",47.6758262515
125,"True","False",0,65536,"ON",48.994185030475
125,"True","False",268435456,512,"OFF",50.359690546975
125,"True","False",268435456,512,"ON",52.007112264625
125,"True","False",268435456,65536,"OFF",47.55887681245
125,"True","False",268435456,65536,"ON",50.446267008775
125,"True","True",0,512,"OFF",87.22846376895
125,"True","True",0,512,"ON",89.002634525275
125,"True","True",0,65536,"OFF",82.760434448725
125,"True","True",0,65536,"ON",84.300998985775
125,"True","True",268435456,512,"OFF",87.51756459475
125,"True","True",268435456,512,"ON",87.234748244275
125,"True","True",268435456,65536,"OFF",82.716983199125
125,"True","True",268435456,65536,"ON",83.645654499525
130,"False","False",0,512,"OFF",225.695631345167
130,"False","False",0,512,"ON",226.265115698167
130,"False","False",0,65536,"OFF",210.390499353333
130,"False","False",0,65536,"ON",214.378335277333
130,"False","False",268435456,512,"OFF",219.745319128167
130,"False","False",268435456,512,"ON",221.554076989333
130,"False","False",268435456,65536,"OFF",212.176604151833
130,"False","False",268435456,65536,"ON",215.546372572833
130,"False","True",0,512,"OFF",362.729889989
130,"False","True",0,512,"ON",366.149207035833
130,"False","True",0,65536,"OFF",347.811534166167
130,"False","True",0,65536,"ON",351.3802942435
130,"False","True",268435456,512,"OFF",359.683967510667
130,"False","True",268435456,512,"ON",360.5092131295
130,"False","True",268435456,65536,"OFF",352.723065654167
130,"False","True",268435456,65536,"ON",352.6570029655
130,"True","False",0,512,"OFF",226.148528257833
130,"True","False",0,512,"ON",226.729497512167
130,"True","False",0,65536,"OFF",211.228248914
130,"True","False",0,65536,"ON",214.226160526333
130,"True","False",268435456,512,"OFF",221.049571196333
130,"True","False",268435456,512,"ON",220.976037780333
130,"True","False",268435456,65536,"OFF",211.014834642167
130,"True","False",268435456,65536,"ON",213.839786847333
130,"True","True",0,512,"OFF",365.0137046575
130,"True","True",0,512,"ON",363.357252677333
130,"True","True",0,65536,"OFF",347.475438992167
130,"True","True",0,65536,"ON",351.493138988833
130,"True","True",268435456,512,"OFF",360.775769988833
130,"True","True",268435456,512,"ON",359.381243507167
130,"True","True",268435456,65536,"OFF",349.170516967833
130,"True","True",268435456,65536,"ON",351.747790297
146,"False","False",0,512,"OFF",242.84242874375
146,"False","False",0,512,"ON",243.721898675
146,"False","False",0,65536,"OFF",227.2829228045
146,"False","False",0,65536,"ON",230.9550772905
146,"False","False",268435456,512,"OFF",236.83542180075
146,"False","False",268435456,512,"ON",236.71986651425
146,"False","False",268435456,65536,"OFF",227.48310256
146,"False","False",268435456,65536,"ON",231.10582226475
146,"False","True",0,512,"OFF",388.34062016
146,"False","True",0,512,"ON",387.95399707575
146,"False","True",0,65536,"OFF",368.39989125725
146,"False","True",0,65536,"ON",372.56857979275
146,"False","True",268435456,512,"OFF",380.72468006625
146,"False","True",268435456,512,"ON",380.549100876
146,"False","True",268435456,65536,"OFF",368.606878996
146,"False","True",268435456,65536,"ON",371.9880202415
146,"True","False",0,512,"OFF",246.7690424325
146,"True","False",0,512,"ON",244.78643715375
146,"True","False",0,65536,"OFF",226.489247501
146,"True","False",0,65536,"ON",230.118874669
146,"True","False",268435456,512,"OFF",238.649075508
146,"True","False",268435456,512,"ON",239.62519574175
146,"True","False",268435456,65536,"OFF",228.03826773175
146,"True","False",268435456,65536,"ON",231.8958919645
146,"True","True",0,512,"OFF",388.615692198
146,"True","True",0,512,"ON",388.9462531805
146,"True","True",0,65536,"OFF",370.94561594725
146,"True","True",0,65536,"ON",373.051160455
146,"True","True",268435456,512,"OFF",380.85947912925
146,"True","True",268435456,512,"ON",381.93143874425
146,"True","True",268435456,65536,"OFF",370.1950300335
146,"True","True",268435456,65536,"ON",374.8157144785
157,"False","False",0,512,"OFF",33.617065727725
157,"False","False",0,512,"ON",34.8255366087
157,"False","False",0,65536,"OFF",27.777736246575
157,"False","False",0,65536,"ON",31.4325094223
157,"False","False",268435456,512,"OFF",32.092805862425
157,"False","False",268435456,512,"ON",32.520922482025
157,"False","False",268435456,65536,"OFF",28.437842190275
157,"False","False",268435456,65536,"ON",30.9141231775
157,"False","True",0,512,"OFF",60.698801457875
157,"False","True",0,512,"ON",60.335193991675
157,"False","True",0,65536,"OFF",54.29254955055
157,"False","True",0,65536,"ON",53.187167704125
157,"False","True",268435456,512,"OFF",55.637456238275
157,"False","True",268435456,512,"ON",61.021879255775
157,"False","True",268435456,65536,"OFF",54.564852535725
157,"False","True",268435456,65536,"ON",55.9945062399
157,"True","False",0,512,"OFF",31.170512557025
157,"True","False",0,512,"ON",35.41686040165
157,"True","False",0,65536,"OFF",27.7780337334
157,"True","False",0,65536,"ON",30.209974348525
157,"True","False",268435456,512,"OFF",30.0650777817
157,"True","False",268435456,512,"ON",33.638323843475
157,"True","False",268435456,65536,"OFF",29.428227007375
157,"True","False",268435456,65536,"ON",30.016425013575
157,"True","True",0,512,"OFF",60.278727471825
157,"True","True",0,512,"ON",60.6154604554
157,"True","True",0,65536,"OFF",56.287513732925
157,"True","True",0,65536,"ON",55.7477232218
157,"True","True",268435456,512,"OFF",59.0456286669
157,"True","True",268435456,512,"ON",59.00635033845
157,"True","True",268435456,65536,"OFF",54.401400268075
157,"True","True",268435456,65536,"ON",55.799767851825
